Id,Neighborhood,Date,Price,NetArea,GrossArea,NumberOfRoom,AgeOfBuilding,LocatedFloor,TotalFloor,Bathroom,Balcony,Furniture,RentIncome
659305121,Goztepe ,12.05.2019,695.00,78.00,96.00,3.00,0.00,7.00,9.00,1.00,1.00,0.00,0.00
679290830,Goztepe ,2.05.2019,695.00,68.00,91.00,3.00,0.00,9.00,9.00,1.00,0.00,0.00,0.00
672421380,Goztepe ,18.05.2019,695.00,80.00,95.00,3.00,0.00,7.00,9.00,2.00,1.00,0.00,0.00
693754786,Goztepe ,18.05.2019,695.00,85.00,110.00,3.00,0.00,8.00,9.00,1.00,1.00,0.00,0.00
663649681,Fenerbahce ,18.05.2019,695.00,40.00,50.00,2.00,0.00,1.00,4.00,1.00,1.00,0.00,0.00
660781574,Feneryolu ,16.05.2019,695.00,80.00,100.00,3.00,0.00,7.00,9.00,1.00,1.00,0.00,0.00
660436365,Zuhtupasa ,15.05.2019,695.00,65.00,85.00,3.00,0.00,9.00,11.00,1.00,0.00,0.00,0.00
664269828,Goztepe ,29.05.2019,695.00,86.00,115.00,3.00,0.00,8.00,9.00,2.00,1.00,0.00,0.00
659971256,Goztepe ,22.05.2019,695.00,77.00,95.00,3.00,0.00,7.00,9.00,1.00,1.00,0.00,0.00
692875621,Zuhtupasa ,14.05.2019,695.00,85.00,105.00,3.00,0.00,11.00,11.00,1.00,0.00,0.00,0.00
682375686,Goztepe ,19.05.2019,695.00,85.00,115.00,3.00,0.00,8.00,9.00,1.00,1.00,0.00,0.00
668114183,Goztepe ,22.05.2019,695.00,90.00,115.00,3.00,0.00,8.00,9.00,2.00,1.00,0.00,0.00
656959260,Goztepe ,13.05.2019,695.00,65.00,91.00,3.00,0.00,10.00,10.00,1.00,0.00,0.00,0.00
621545600,Goztepe ,10.05.2019,695.00,76.00,95.00,3.00,0.00,7.00,9.00,1.00,1.00,0.00,0.00
686010306,Goztepe ,21.05.2019,695.00,79.00,105.00,3.00,0.00,8.00,9.00,1.00,1.00,0.00,0.00
680502259,Goztepe ,5.05.2019,698.00,90.00,120.00,4.00,0.00,10.00,10.00,2.00,0.00,0.00,0.00
684967033,Feneryolu ,21.05.2019,700.00,70.00,85.00,3.00,0.00,2.00,7.00,1.00,0.00,0.00,0.00
691110577,Goztepe ,7.05.2019,700.00,90.00,120.00,4.00,0.00,11.00,14.00,2.00,0.00,0.00,0.00
674123673,Goztepe ,19.05.2019,700.00,65.00,70.00,3.00,0.00,6.00,8.00,1.00,0.00,0.00,0.00
438040377,Goztepe ,1.05.2019,700.00,80.00,105.00,3.00,0.00,8.00,9.00,2.00,0.00,0.00,0.00
692848344,Goztepe ,14.05.2019,700.00,80.00,90.00,3.00,1.00,1.00,13.00,1.00,0.00,0.00,0.00
681976415,Goztepe ,9.05.2019,700.00,75.00,90.00,3.00,0.00,8.00,9.00,2.00,1.00,0.00,0.00
693845840,Feneryolu ,18.05.2019,700.00,70.00,100.00,3.00,0.00,2.00,9.00,2.00,1.00,0.00,0.00
652322036,Goztepe ,13.05.2019,700.00,80.00,100.00,4.00,0.00,1.00,7.00,2.00,0.00,0.00,0.00
673880735,Goztepe ,20.05.2019,700.00,75.00,90.00,3.00,1.00,6.00,7.00,1.00,0.00,0.00,0.00
666014151,Goztepe ,3.05.2019,700.00,75.00,100.00,3.00,0.00,1.00,3.00,1.00,0.00,0.00,0.00
627617652,Goztepe ,25.05.2019,700.00,75.00,98.00,4.00,0.00,1.00,7.00,2.00,0.00,0.00,0.00
635880877,Goztepe ,22.05.2019,700.00,73.00,87.00,3.00,0.00,6.00,8.00,1.00,0.00,0.00,0.00
643368294,Goztepe ,21.05.2019,700.00,90.00,115.00,4.00,0.00,11.00,14.00,2.00,0.00,0.00,0.00
549006432,Goztepe ,4.05.2019,700.00,105.00,125.00,4.00,28.00,4.00,7.00,2.00,1.00,0.00,1.00
695699646,Goztepe ,26.05.2019,700.00,90.00,125.00,4.00,0.00,5.00,7.00,1.00,0.00,0.00,0.00
662308951,Goztepe ,3.05.2019,700.00,45.00,59.00,3.00,1.00,3.00,12.00,1.00,1.00,0.00,0.00
640794220,Goztepe ,9.05.2019,700.00,90.00,125.00,4.00,0.00,12.00,14.00,2.00,0.00,0.00,0.00
660808693,Goztepe ,17.05.2019,700.00,65.00,92.00,3.00,0.00,9.00,10.00,1.00,0.00,0.00,0.00
681716873,Goztepe ,11.05.2019,700.00,75.00,105.00,3.00,0.00,9.00,10.00,1.00,1.00,0.00,0.00
